Name,Season,Tm,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
Carlos Boozer,2002-03,CLE,PF,81.0,54.0,2049.0,8.3,15.4,0.536,3.7,4.8,0.7709999999999999,5.0,10.1,15.2,2.6,1.5,1.2,2.6,5.6,20.2,114.0,105.0
Carlos Boozer,2003-04,CLE,PF,75.0,75.0,2592.0,9.6,18.3,0.523,4.5,5.8,0.768,4.7,12.8,17.5,3.0,1.5,1.1,2.7,4.1,23.7,113.0,101.0
Carlos Boozer,2004-05,UTA,PF,51.0,51.0,1772.0,11.1,21.2,0.521,5.7,8.2,0.698,4.3,9.7,14.0,4.4,1.3,0.7,4.2,5.5,27.9,108.0,108.0
Carlos Boozer,2005-06,UTA,PF,33.0,19.0,1025.0,11.7,21.3,0.5489999999999999,5.3,7.3,0.723,3.9,11.3,15.2,4.7,1.6,0.4,3.7,5.6,28.6,113.0,105.0
Carlos Boozer,2006-07 ★,UTA,PF,74.0,74.0,2557.0,13.3,23.6,0.561,5.2,7.6,0.685,4.8,13.0,17.8,4.5,1.4,0.4,4.0,4.4,31.7,114.0,104.0
Carlos Boozer,2007-08 ★,UTA,PF,81.0,81.0,2827.0,12.9,23.6,0.547,5.3,7.2,0.738,3.6,11.8,15.4,4.2,1.8,0.7,3.8,5.3,31.1,112.0,103.0
Carlos Boozer,2008-09,UTA,PF,37.0,37.0,1197.0,10.8,22.0,0.49,4.2,6.0,0.698,4.8,11.8,16.6,3.4,1.7,0.3,3.4,5.7,25.8,105.0,105.0
Carlos Boozer,2009-10,UTA,PF,78.0,78.0,2673.0,11.8,21.0,0.562,5.5,7.4,0.742,3.5,13.3,16.7,4.7,1.6,0.7,4.1,5.2,29.1,112.0,102.0
Carlos Boozer,2010-11,CHI,C,59.0,59.0,1882.0,12.2,23.9,0.51,4.8,6.9,0.701,3.7,12.3,15.9,4.1,1.3,0.5,4.2,5.3,29.2,105.0,99.0
Carlos Boozer,2011-12,CHI,PF,66.0,66.0,1948.0,12.4,23.3,0.532,2.6,3.8,0.693,3.2,12.4,15.6,3.5,1.7,0.7,3.2,4.6,27.4,108.0,95.0
Carlos Boozer,2012-13,CHI,PF,79.0,79.0,2546.0,11.5,24.1,0.47700000000000004,4.1,5.6,0.731,3.7,12.6,16.3,3.8,1.4,0.6,3.7,5.0,27.0,101.0,100.0
Carlos Boozer,2013-14,CHI,PF,76.0,76.0,2141.0,11.1,24.4,0.456,3.7,4.8,0.767,3.4,12.3,15.7,2.9,1.3,0.5,3.8,5.4,25.9,95.0,98.0
Carlos Boozer,2014-15,LAL,PF,24.0,19.0,633.0,10.9,21.5,0.507,3.0,4.6,0.655,3.6,10.5,14.1,2.8,1.0,0.2,2.3,5.7,24.9,107.0,113.0
Carlos Boozer,Career,,,814.0,768.0,25842.0,11.4,21.9,0.522,4.5,6.2,0.726,4.0,12.0,16.0,3.8,1.5,0.7,3.6,5.1,27.4,109.0,102.0
Carlos Boozer,,,,,,,,,,,,,,,,,,,,,,,
Carlos Boozer,6,UTA,,354.0,340.0,12051.0,12.2,22.4,0.544,5.3,7.3,0.716,4.1,12.0,16.1,4.4,1.6,0.6,3.9,5.2,29.6,111.0,104.0
Carlos Boozer,4,CHI,,280.0,280.0,8517.0,11.7,23.9,0.491,3.8,5.3,0.7240000000000001,3.5,12.4,15.9,3.6,1.4,0.6,3.7,5.1,27.3,102.0,98.0
Carlos Boozer,2,CLE,,156.0,129.0,4641.0,9.0,17.0,0.528,4.1,5.3,0.769,4.8,11.6,16.4,2.8,1.5,1.2,2.7,4.7,22.1,114.0,103.0
Carlos Boozer,1,LAL,,24.0,19.0,633.0,10.9,21.5,0.507,3.0,4.6,0.655,3.6,10.5,14.1,2.8,1.0,0.2,2.3,5.7,24.9,107.0,113.0
Jannero Pargo,2002-03,LAL,PG,34.0,0.0,342.0,5.6,14.1,0.39799999999999996,0.6,0.6,1.0,1.4,4.2,5.6,5.9,2.0,0.3,3.5,6.8,12.9,90.0,107.0
Jannero Pargo,2003-04,TOT,PG,31.0,1.0,479.0,8.9,21.8,0.40700000000000003,2.5,3.0,0.852,0.9,3.2,4.1,7.7,1.4,0.7,5.2,5.5,22.7,92.0,106.0
Jannero Pargo,2003-04,LAL,PG,13.0,0.0,63.0,5.0,13.2,0.375,0.0,0.0,,0.0,5.0,5.0,9.1,1.7,0.0,9.9,4.1,11.6,63.0,104.0
Jannero Pargo,2003-04,TOR,PG,5.0,0.0,71.0,7.0,22.6,0.31,0.0,0.0,,0.0,3.1,3.1,9.3,3.1,0.8,3.9,5.5,14.0,70.0,101.0
Jannero Pargo,2003-04,CHI,PG,13.0,1.0,345.0,10.0,23.2,0.429,3.5,4.1,0.852,1.2,2.9,4.1,7.1,1.1,0.8,4.5,5.7,26.4,100.0,108.0
Jannero Pargo,2004-05,CHI,PG,32.0,0.0,453.0,9.4,24.4,0.385,1.9,2.6,0.7390000000000001,1.4,4.0,5.4,8.7,1.8,0.1,5.2,6.1,23.4,92.0,103.0
Jannero Pargo,2005-06,CHI,PG,57.0,0.0,646.0,8.7,23.3,0.373,1.4,1.7,0.81,0.6,4.2,4.9,7.5,1.9,0.2,4.9,4.6,21.9,89.0,105.0
Jannero Pargo,2006-07,NOK,PG,82.0,7.0,1710.0,8.8,21.5,0.409,3.2,3.8,0.852,0.6,5.0,5.6,6.3,1.6,0.1,3.8,3.8,23.4,100.0,108.0
Jannero Pargo,2007-08,NOH,SG,80.0,5.0,1497.0,9.1,23.3,0.39,2.5,2.9,0.877,0.9,3.7,4.6,6.8,1.8,0.2,3.3,4.4,23.0,98.0,108.0
Jannero Pargo,2009-10,CHI,PG,63.0,5.0,829.0,8.2,23.7,0.34600000000000003,2.6,2.8,0.9329999999999999,0.6,4.3,4.9,5.5,1.8,0.1,3.1,4.2,21.4,89.0,107.0
Jannero Pargo,2011-12,ATL,PG,50.0,0.0,671.0,8.3,20.1,0.415,1.5,1.6,0.95,0.7,5.1,5.8,7.6,1.6,0.2,3.9,5.1,22.4,103.0,104.0
Jannero Pargo,2012-13,TOT,PG,32.0,0.0,507.0,8.0,21.8,0.368,1.2,1.3,0.9229999999999999,1.0,2.6,3.6,6.9,1.9,0.3,4.2,4.3,21.3,92.0,111.0
Jannero Pargo,2012-13,WAS,PG,7.0,0.0,102.0,4.1,16.3,0.25,1.0,1.0,1.0,0.0,3.1,3.1,7.1,0.0,0.5,4.1,4.1,10.7,69.0,110.0
Jannero Pargo,2012-13,ATL,PG,7.0,0.0,113.0,6.0,17.4,0.342,0.9,0.9,1.0,0.5,2.8,3.2,8.7,1.4,0.0,2.3,3.7,16.0,99.0,109.0
Jannero Pargo,2012-13,CHA,PG,18.0,0.0,292.0,10.2,25.5,0.401,1.4,1.6,0.889,1.6,2.3,4.0,6.1,2.7,0.4,5.0,4.7,27.1,96.0,113.0
Jannero Pargo,2013-14,CHA,PG,29.0,0.0,242.0,11.2,25.3,0.441,1.7,2.4,0.727,0.2,4.1,4.3,11.2,3.0,0.2,5.6,3.6,29.2,102.0,103.0
Jannero Pargo,2014-15,CHO,PG,7.0,0.0,62.0,11.0,26.1,0.419,1.7,1.7,1.0,0.0,0.8,0.8,4.2,0.0,0.0,1.7,5.9,29.5,107.0,115.0
Jannero Pargo,Career,,,497.0,18.0,7438.0,8.7,22.2,0.391,2.3,2.6,0.8640000000000001,0.8,4.2,4.9,7.0,1.8,0.2,4.0,4.6,22.4,96.0,107.0
Jannero Pargo,,,,,,,,,,,,,,,,,,,,,,,
Jannero Pargo,4,CHI,,165.0,6.0,2273.0,8.9,23.7,0.374,2.3,2.6,0.853,0.8,4.0,4.8,7.0,1.7,0.2,4.2,4.9,22.7,91.0,106.0
Jannero Pargo,2,"NOK,NOH",,162.0,12.0,3207.0,8.9,22.3,0.4,2.9,3.4,0.862,0.8,4.4,5.2,6.6,1.7,0.1,3.6,4.1,23.2,99.0,108.0
Jannero Pargo,2,ATL,,57.0,0.0,784.0,8.0,19.7,0.405,1.4,1.5,0.955,0.7,4.7,5.4,7.8,1.6,0.1,3.7,4.9,21.4,102.0,105.0
Jannero Pargo,3,"CHA,CHO",,54.0,0.0,596.0,10.7,25.5,0.419,1.6,1.9,0.818,0.9,2.9,3.8,8.0,2.5,0.3,4.9,4.4,28.2,100.0,109.0
Jannero Pargo,2,LAL,,47.0,0.0,405.0,5.5,14.0,0.39399999999999996,0.5,0.5,1.0,1.2,4.4,5.5,6.4,1.9,0.3,4.5,6.4,12.7,85.0,106.0
Jannero Pargo,1,WAS,,7.0,0.0,102.0,4.1,16.3,0.25,1.0,1.0,1.0,0.0,3.1,3.1,7.1,0.0,0.5,4.1,4.1,10.7,69.0,110.0
Jannero Pargo,1,TOR,,5.0,0.0,71.0,7.0,22.6,0.31,0.0,0.0,,0.0,3.1,3.1,9.3,3.1,0.8,3.9,5.5,14.0,70.0,101.0
James Southerland,2013-14,TOT,SF,4.0,0.0,30.0,8.7,26.0,0.33299999999999996,1.7,3.5,0.5,0.0,13.9,13.9,0.0,1.7,3.5,1.7,5.2,24.3,83.0,102.0
James Southerland,2013-14,CHA,SF,1.0,0.0,3.0,0.0,51.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
James Southerland,2013-14,NOP,,3.0,0.0,27.0,9.6,23.1,0.41700000000000004,1.9,3.9,0.5,0.0,15.4,15.4,0.0,1.9,3.9,1.9,5.8,27.0,101.0,101.0
James Southerland,Career,,,4.0,0.0,30.0,8.7,26.0,0.33299999999999996,1.7,3.5,0.5,0.0,13.9,13.9,0.0,1.7,3.5,1.7,5.2,24.3,83.0,102.0
James Southerland,,,,,,,,,,,,,,,,,,,,,,,
James Southerland,1,NOP,,3.0,0.0,27.0,9.6,23.1,0.41700000000000004,1.9,3.9,0.5,0.0,15.4,15.4,0.0,1.9,3.9,1.9,5.8,27.0,101.0,101.0
James Southerland,1,CHA,,1.0,0.0,3.0,0.0,51.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
Austin Daye,2009-10,DET,SF,69.0,4.0,915.0,8.1,17.5,0.46399999999999997,2.7,3.3,0.821,2.0,8.3,10.3,2.0,1.5,1.5,2.8,6.8,20.7,105.0,110.0
Austin Daye,2010-11,DET,SF,72.0,16.0,1446.0,7.2,17.5,0.41,3.1,4.0,0.759,2.4,7.8,10.2,2.9,1.5,1.5,2.2,6.1,20.0,106.0,110.0
Austin Daye,2011-12,DET,SF,41.0,4.0,603.0,6.5,20.2,0.322,3.1,3.8,0.8140000000000001,1.2,6.9,8.1,2.9,2.0,1.9,3.6,5.5,17.3,80.0,104.0
Austin Daye,2012-13,TOT,SF,55.0,0.0,676.0,7.1,16.5,0.433,2.1,2.7,0.765,1.3,8.5,9.7,3.3,1.1,1.7,2.3,6.5,19.6,109.0,104.0
Austin Daye,2012-13,DET,SF,24.0,0.0,348.0,6.5,14.7,0.44299999999999995,2.3,2.7,0.833,1.5,8.0,9.6,3.2,0.8,1.2,2.0,6.5,18.5,115.0,109.0
Austin Daye,2012-13,MEM,SF,31.0,0.0,328.0,7.8,18.4,0.423,1.8,2.6,0.688,1.0,8.9,9.9,3.5,1.5,2.3,2.6,6.5,20.7,104.0,99.0
Austin Daye,2013-14,TOT,SF,22.0,1.0,148.0,8.3,23.4,0.353,2.1,3.4,0.6,1.7,7.6,9.3,2.8,1.4,1.4,1.7,6.2,22.7,94.0,103.0
Austin Daye,2013-14,TOR,SF,8.0,0.0,33.0,4.8,20.6,0.231,3.2,4.8,0.667,3.2,7.9,11.1,3.2,0.0,0.0,0.0,6.3,12.7,79.0,109.0
